Name,UDISE,Site Code,Type,District,Block,Principal,Phone,Phone 2,Email,Address,Registration No.,Year Established,Assembly Constituency,Gram Panchayat,Managed By,Medium of Instruction,Classes From,Classes To,Streams,Virtual Classroom,ICT Lab,Smart Classroom,Electricity,Internet,CCTV,Campus Area,Campus Area Unit,Built-Up Area,Buildings,Classrooms,Playground,Boundary Wall,Library,Laboratory,Computer Lab,Drinking Water,Water Source,Toilets,Boys Toilets,Girls Toilets,CWSN Toilet,Handwashing,Fire Safety,Disaster Plan,First Aid,Security Guard,Emergency Contact,Desktop PCs,UPS,Internet Connectivity,Hostel Student Rooms,Hostel Capacity,Hostel Students,Teachers,Students,Avg Pass 10th,Avg Pass 12th
GGIC ALMORA,5090615301,VVEAMO376,GGIC,ALMORA,HAWALBAG,Mrs. Naza,9627233020,,,"G.G.I.C. ALMORA, ALMORA Uttarakhand, pincode  263601.",,,,,Govt,Hindi,6,12,,Yes,Yes,No,Yes,Yes,No,,acres,,,,Yes,Yes,Yes,Yes,Yes,Yes,Tap,,,,No,Yes,Yes,Yes,Yes,No,,,Yes,Yes,,,,26,397,1,0.97592
GGIC BARECHHINA,5090104506,VVEAMO353,GGIC,ALMORA,BHAISIYACHHANA,Mrs. Preeti/Mrs. Asha Bhatt,9690162008,8218665255,,G. G.I.C. BARECHHINA is in the ALMORA district of Uttarakhand state. pincode is 263624..,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,213,0.9818,0.9527
GGIC RANIKHET,5091103902,VVEAMO398,GGIC,ALMORA,TARIKHET,Mr. Devendra Singh,9456109579,,,G.I.C. KUNELAKHET is in the ALMORA district of Uttarakhand state. pincode is 263680.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,115,0.98946,1
GGIC SOMESHWAR,5091002803,,GGIC,ALMORA,TAKULA,Mrs. Rajni,9411123581,,,"G.G.I.C. SOMESHWAR, is situated in the village of Dhaulara, Takula Block, Almora District, Uttarakhand State,Pincode Number : 263637",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,14,189,,
GIC ASGOLI,5090400802,VVEAMO363,GIC,ALMORA,DWARAHAT,Mr. Rajendra,8194010684,,,G.I.C. ASGOLI is in the ALMORA district of Uttarakhand state. pincode is 263654.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,118,0.8666,0.8571
GIC BAGWALIPOKHAR,5090406202,VVEAMO365,GIC,ALMORA,DWARAHAT,Mr. N S Pangti,7351792806,,,G.I.C. BAGWALIPOKHAR is in the ALMORA district of Uttarakhand state. pincode is 263621.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,15,228,0.86662,0.8886333333333334
GIC BARECHHINA,5090104505,VVEAMO352,GIC,ALMORA,BHAISIYACHHANA,Mr. K N Joshi,9456575702,,,G.I.C. BARECHHINA is in the ALMORA district of Uttarakhand state. pincode is 263624.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,156,0.7554000000000001,0.7782222222222221
GIC BASERI,5090807202,VVEAMO384,GIC,ALMORA,SALT,Mr. Balwant Negi,8449635021,9411304831,,G.I.C. BASERI is in the ALMORA district of Uttarakhand state. pincode is 263658.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,83,0.875,0.9629
GIC BHAGTOLA,5090606902,VVEAMO373,GIC,ALMORA,HAWALBAG,,,,,G.I.C. BHAGTOLA is in the ALMORA district of Uttarakhand state. pincode is 263689.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,150,1,0.7647000000000002
GIC BHANAULI,5090503903,VVEAMO367,GIC,ALMORA,DHAULADEVI,Mrs. Aaradhana Yadav,9045460944,,,G.I.C. BHANAULI is in the ALMORA district of Uttarakhand state. pincode is 263687,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,278,0.9361,1
